,,,
,ID,会社名,担当者
,6305,株式会社サンベスト東信(舟渡営業所),田代
,2040,株式会社クワハラ(旭営業所),田代
,4942,日の出交通株式会社,田代
,8523,宮園自動車株式会社(ハイヤー部 本社営業所),植野
,3833,栄自動車株式会社(本社営業所),田代
,7765,宇都宮モビリティサービス株式会社(アサヒタクシー株式会社),田代
,5451,千葉タクシー株式会社,田代
,2216,株式会社岩槻タクシー(本社営業所),田代
,6436,東京七福タクシー株式会社,植野
,6437,新都交通株式会社,植野
,6438,東京七福交通株式会社,植野
,6439,東武タクシー株式会社,植野
,4981,七福交通株式会社,植野
,4857,エミタスタクシー北総株式会社(北総営業所),田代
,8553,帝都自動車交通株式会社(ハイヤー事業所),田代
,8567,株式会社アイティータクシー(本社営業所),田代
,4503,帝都自動車交通株式会社(墨田営業所),田代
,8566,松伏交通有限会社,植野
,4647,東日本タクシー株式会社(町田営業所),田代
,4481,栄自動車株式会社(金町営業所),田代
,5056,株式会社アシスト(西新井営業所),田代
,5085,エコシステム株式会社(エコタクシー綾瀬営業所),田代
,5132,エコシステム株式会社(エコタクシー新木場営業所),田代
,5053,朋栄交通株式会社 ※更新前必ず連絡,田代
,1956,箱根モビリティサービス株式会社,田代
,3842,株式会社八重洲タクシー(東京営業所),田代
,4532,京成タクシーイースト株式会社(本社成田営業所),田代
,8618,富士交通有限会社,植野
,8012,武蔵モビリティサービス株式会社(東京交通株式会社)(所沢営業所),田代
,4034,盈進自動車株式会社(本社営業所),田代
,3866,盈進自動車株式会社(葛西営業所),植野
,4994,高鉄交通株式会社,田代
,1997,イマイタクシー,植野
,5084,千代田自動車株式会社(千代田タクシー本社営業所),田代
,4878,浦安タクシー有限会社,田代
,8635,株式会社織田タクシー(東京営業所),田代
,8644,株式会社織田(OKタクシー)(本社営業所),田代
,2109,株式会社625タクシー横浜(本社営業所),植野
,8018,株式会社625タクシー横浜(戸塚営業所),植野
,6732,東洋タクシー有限会社,植野
,1699,有限会社丸十タクシー,田代
,2218,大宮交通株式会社,植野
,5646,横浜交通株式会社(本社営業所)(旧:大明交通株式会社),田代
,6325,品川タクシー株式会社,植野
,4850,エミタスタクシー東京株式会社,田代
,4607,株式会社日の丸リムジン(王子事業所),田代
,4184,宮城交通株式会社(本社営業所),田代
,6540,エミタスタクシー北総株式会社(白井営業所),田代
,3956,株式会社岩槻タクシー(東京営業所),田代
,4877,ゴールド交通株式会社,田代
,1790,株式会社鹿野西岬タクシー,田代
,7431,日吉交通株式会社,植野
,2264,ハッピータクシー株式会社,田代
,3831,足立タクシー株式会社,田代
,1986,鎌倉スマイル株式会社,田代
,4521,小田急川崎交通株式会社(旧:川崎交通産業㈱生田営業所),田代
,7472,サーティーフォー交通株式会社,植野
,5252,アールタクシー株式会社,田代
,4912,昭島交通株式会社,田代
,3886,山手交通株式会社(本社営業所),田代
,8127,豊和自動車株式会社,植野
,4664,エミタスタクシー柏株式会社(光ヶ丘営業所),田代
,7514,小田原報徳自動車株式会社,植野
,5282,生田交通株式会社(本社営業所),田代
,8229,蒲生交通株式会社,植野
,4047,新進タクシー株式会社(本社営業所),田代
,5793,南進自動車株式会社,植野
,5329,株式会社檪山交通(本社営業所),田代
,6306,省東自動車株式会社,植野
,4547,帝都自動車交通株式会社(大森営業所),田代
,1677,松崎交通株式会社(本社営業所),田代
,3920,AYA交通株式会社(本社営業所),田代
,6148,株式会社アシスト(大井営業所),田代
,6719,三矢交通株式会社(さいたま新都心営業所),植野
,4987,松竹交通株式会社,田代
,3845,栄交通株式会社,植野
,8263,山手観光自動車株式会社(南浦和営業所),田代
,2074,おおもりタクシー株式会社(横浜営業所),田代
,5867,株式会社岩槻タクシー(川口営業所),田代
,4575,飛鳥交通カンツリー株式会社(カンツリー営業所),田代
